sch_deid,grade,st,school_magnet,school_titlei,tr_ts,school_enroll,frpl_prop,asian_prop,black_prop,hisp_prop,white_prop,period,mean_orf,post
11388,1,OR,Not applicable,Title I schoolwide school,43,202,0.648514851485149,0.0375081653014971,0.205972668760196,0.116279069767442,0.744186046511628,y1_boy,10.0652173913043,0
11388,1,OR,Not applicable,Title I schoolwide school,43,202,0.648514851485149,0.0375081653014971,0.205972668760196,0.116279069767442,0.744186046511628,y1_moy,23.7391304347826,0
11388,1,OR,Not applicable,Title I schoolwide school,43,202,0.648514851485149,0.0375081653014971,0.205972668760196,0.116279069767442,0.744186046511628,y2_boy,6.45238095238095,1
11388,1,OR,Not applicable,Title I schoolwide school,43,202,0.648514851485149,0.0375081653014971,0.205972668760196,0.116279069767442,0.744186046511628,y2_moy,17.2083333333333,1
11388,2,OR,Not applicable,Title I schoolwide school,39,202,0.648514851485149,0.0677638988513734,0.609107893702359,0.282051282051282,0.692307692307692,y1_boy,46.3720930232558,0
11388,2,OR,Not applicable,Title I schoolwide school,39,202,0.648514851485149,0.0677638988513734,0.609107893702359,0.282051282051282,0.692307692307692,y1_moy,76.0666666666667,0
11388,2,OR,Not applicable,Title I schoolwide school,39,202,0.648514851485149,0.0677638988513734,0.609107893702359,0.282051282051282,0.692307692307692,y2_boy,34.1794871794872,1
11388,2,OR,Not applicable,Title I schoolwide school,39,202,0.648514851485149,0.0677638988513734,0.609107893702359,0.282051282051282,0.692307692307692,y2_moy,58.1951219512195,1
11388,3,OR,Not applicable,Title I schoolwide school,36,202,0.648514851485149,0.0538008297550021,0.233867255704135,0.194444444444444,0.666666666666667,y1_boy,72.1282051282051,0
11388,3,OR,Not applicable,Title I schoolwide school,36,202,0.648514851485149,0.0538008297550021,0.233867255704135,0.194444444444444,0.666666666666667,y1_moy,100.775,0
11388,3,OR,Not applicable,Title I schoolwide school,36,202,0.648514851485149,0.0538008297550021,0.233867255704135,0.194444444444444,0.666666666666667,y2_boy,65.9756097560976,1
11388,3,OR,Not applicable,Title I schoolwide school,36,202,0.648514851485149,0.0538008297550021,0.233867255704135,0.194444444444444,0.666666666666667,y2_moy,92.7954545454545,1
