sedalea,sedaleaname,fips,stateabb,math,read,pernam,perasn,perhsp,perblk,perwht,perfl,perecd,perell,perspeced,totenrl,rsflnfl,sesavgall,lninc50avgall,baplusavgall,unempavgall,snapavgall,single_momavgall,locale
1733380,REED CUSTER CUSD 255U                                       ,17,IL,0.0582308427785478,0.0544258792296425,0.001951423,0.0080385888,0.04264541,0.010512412,0.93685216,0.3229247,0.36961842,0.0052465564,0.15036543,753.3,0,0.49042362,11.036535,0.12983641,0.079589255,0.063142575,0.10317337,Rural
1733390,RHODES SD 84-5                                              ,17,IL,-0.000209263641268544,0.0921422092977099,0.00039508147,0.022497429,0.68292594,0.063135721,0.23104581,0.52412152,0.65974271,0.32115698,0.12674449,426,0,-0.55667168,10.728392,0.14865786,0.075204179,0.16453709,0.19340372,Suburb
1733450,RICHLAND GSD 88A                                            ,17,IL,0.00162282742022531,0.0548997601479069,0.0005104912,0.055535983,0.3554838,0.16261575,0.425854,0.40027145,0.41135961,0.15012152,0.13378853,626.4,0.00030150375,0.52442348,10.953949,0.2410998,0.060538031,0.056497835,0.18046038,Suburb
1733690,RIDGELAND SD 122                                            ,17,IL,-0.00378496309954176,0.0363967498319737,0.0011022799,0.014318911,0.23809502,0.045936301,0.70054752,0.47744727,0.59071606,0.13260107,0.14829324,1441.7,0.016480034,0.1582375,10.873031,0.17888223,0.084813118,0.10211437,0.12822613,Suburb
1733750,RILEY CCSD 18                                               ,17,IL,0.141650537163742,0.207101779688328,0.0030768071,0.022112619,0.17884952,0.0033638042,0.79259723,0.19594148,0.32414082,0.037621539,0.13076656,211.9,0,1.2755351,11.349585,0.26751903,0.046597786,0.087819092,0.04382395,Rural
1733810,RIVER FOREST SD 90                                          ,17,IL,0.588604408529292,0.628522666229587,0.00073086639,0.046705436,0.082581043,0.073546857,0.79643583,0.057540908,0.057532273,0.023324423,0.20462063,946.5,0.00063996133,2.1486304,11.628916,0.75362736,0.035395976,0.015518864,0.10712313,Suburb
1733840,RIVER GROVE SD 85-5                                         ,17,IL,-0.0173985441985861,0.10573418110052,0.001684227,0.013439625,0.40307027,0.026443692,0.55536222,0.44889936,0.58068424,0.20316032,0.14262678,414.8,0,0.044464421,10.792008,0.20156246,0.084315322,0.085402347,0.19061358,Suburb
1733870,RIVER TRAILS SD 26                                          ,17,IL,0.284352378077626,0.278669002255003,0.0070475279,0.17281325,0.25959432,0.026563905,0.53398097,0.27935007,0.35698906,0.17693233,0.1507668,940.1,0.080114186,1.3658562,11.26709,0.3816556,0.052365869,0.046101172,0.079769365,Suburb
1733930,RIVERDALE CUSD 100                                          ,17,IL,0.159912412529623,0.163823563128824,0.00020876827,0.0041905725,0.018422874,0.0066121952,0.97056562,0.19634211,0.28222448,0.0012882469,0.14601421,501.8,0,0.95440519,11.108723,0.2456695,0.052975658,0.055279158,0.098237462,Rural
1733950,RIVER BEND CUSD 2                                           ,17,IL,0.117188290692154,0.158661143361918,0.00047236335,0.0056053107,0.021545334,0.0024968048,0.96988022,0.25999212,0.34750816,0.00030832476,0.14483318,430.5,0,0.78141779,10.909941,0.19273509,0.043170087,0.052612998,0.12559168,Town
