sch_deid,grade,y1_boy_mean,y1_moy_mean,y2_boy_mean,y2_moy_mean,st,school_magnet,school_titlei,tr_ts,school_enroll,frpl_prop,pre,post,asian_prop,black_prop,hisp_prop,white_prop
10498,1,34.1603773584906,54.2935779816514,44.5089285714286,56.5892857142857,CA,No,Not a Title I school,107,595,0.383193277310924,44.226977670071,50.5491071428572,0.0654205607476636,0.0280373831775701,0.168224299065421,0.700934579439252
10498,2,66.85,112.365079365079,76.8461538461538,109.533333333333,CA,No,Not a Title I school,127,595,0.383193277310924,89.6075396825395,93.1897435897434,0.047244094488189,0.031496062992126,0.165354330708661,0.708661417322835
10498,3,96.1929824561404,125.710144927536,94.2672413793103,123.316239316239,CA,No,Not a Title I school,137,595,0.383193277310924,110.951563691838,108.791740347775,0.072992700729927,0.0656934306569343,0.204379562043796,0.583941605839416
10498,4,110.96,149.869230769231,109.35,148.056179775281,CA,No,Not a Title I school,132,595,0.383193277310924,130.414615384616,128.703089887641,0.0681818181818182,0.053030303030303,0.227272727272727,0.568181818181818
10498,5,124.761363636364,136.529411764706,118,136.178217821782,CA,No,Not a Title I school,92,595,0.383193277310924,130.645387700535,127.089108910891,0.0760869565217391,0.0760869565217391,0.195652173913043,0.597826086956522
10499,1,12.2765957446809,25.3,16.6964285714286,23.9473684210526,CA,No,Title I schoolwide school,53,310,1.12258064516129,18.7882978723405,20.3218984962406,0.0754716981132076,0.0488191874800275,0.905660377358491,0.0188679245283019
10499,2,44.7068965517241,86.1428571428571,39.5416666666667,69.66,CA,No,Title I schoolwide school,62,310,1.12258064516129,65.4248768472906,54.6008333333334,0.112903225806452,0.0645161290322581,0.709677419354839,0.112903225806452
10499,3,73.9375,89.3333333333333,84,104.387755102041,CA,No,Title I schoolwide school,65,310,1.12258064516129,81.6354166666667,94.1938775510205,0.153846153846154,0.0461538461538462,0.753846153846154,0.0461538461538462
10499,4,95.1935483870968,135.848484848485,94.3636363636364,135.8,CA,No,Title I schoolwide school,71,310,1.12258064516129,115.521016617791,115.081818181818,0.112676056338028,0.0140845070422535,0.830985915492958,0.0422535211267606
10499,5,102.491228070175,127.75,96.53125,110.1875,CA,No,Title I schoolwide school,59,310,1.12258064516129,115.120614035088,103.359375,0.0338983050847458,0.0338983050847458,0.864406779661017,0.0677966101694915
10500,1,20.3877551020408,31.68,27.1063829787234,38.9375,CA,No,Title I schoolwide school,53,245,0.738775510204082,26.0338775510204,33.0219414893617,0.0566037735849057,0.113207547169811,0.415094339622642,0.320754716981132
10500,2,52.2173913043478,81.7659574468085,52.2127659574468,81.8478260869565,CA,No,Title I schoolwide school,46,245,0.738775510204082,66.9916743755782,67.0302960222017,0.0869565217391304,0.0869565217391304,0.586956521739131,0.173913043478261
10500,3,94.0238095238095,117.111111111111,74.8974358974359,105.675,CA,No,Title I schoolwide school,42,245,0.738775510204082,105.56746031746,90.2862179487179,0.0238095238095238,0.0476190476190476,0.5,0.285714285714286
10500,4,102.297297297297,149.763157894737,101.676470588235,147.571428571429,CA,No,Title I schoolwide school,37,245,0.738775510204082,126.030227596017,124.623949579832,0.0540540540540541,0.108108108108108,0.594594594594595,0.189189189189189
10500,5,111.684210526316,132.128205128205,115.193548387097,132.451612903226,CA,No,Title I schoolwide school,38,245,0.738775510204082,121.906207827261,123.822580645162,0.0526315789473684,0.131578947368421,0.552631578947369,0.157894736842105
10501,1,14.7307692307692,40.2758620689655,16.2631578947368,25.3658536585366,CA,No,Title I schoolwide school,28,282,1.04964539007092,27.5033156498674,20.8145057766367,0.0714285714285714,0,0.892857142857143,0
10501,2,43.9464285714286,70.1052631578947,50,65.3703703703704,CA,No,Title I schoolwide school,55,282,1.04964539007092,57.0258458646617,57.6851851851852,0.0323144024437059,0.0217735474539393,0.981818181818182,0.0181818181818182
10501,3,69.0344827586207,93.9137931034483,71,100.738095238095,CA,No,Title I schoolwide school,58,282,1.04964539007092,81.4741379310345,85.8690476190475,0,0.0172413793103448,0.982758620689655,0.241425719362459
10501,4,89.6279069767442,131.75,93.2608695652174,130.511111111111,CA,No,Title I schoolwide school,44,282,1.04964539007092,110.688953488372,111.885990338164,0.0227272727272727,0,0.886363636363636,0.0681818181818182
10501,5,101.622222222222,114.446808510638,94.4210526315789,109.657142857143,CA,No,Title I schoolwide school,46,282,1.04964539007092,108.03451536643,102.039097744361,0.0652173913043478,0.172065996633705,0.869565217391304,0.0652173913043478
10502,1,25.1923076923077,41.7857142857143,28,38.05,CA,No,Title I schoolwide school,27,158,1.07594936708861,33.489010989011,33.025,0.037037037037037,0.281436630020787,0.962962962962963,0.661899808967017
10502,2,60.7,90.8709677419355,62.6842105263158,75.0416666666667,CA,No,Title I schoolwide school,30,158,1.07594936708861,75.7854838709678,68.8629385964913,0.0333333333333333,0,0.933333333333333,0.0333333333333333
10502,3,74.8965517241379,103.379310344828,80,103.541666666667,CA,No,Title I schoolwide school,29,158,1.07594936708861,89.137931034483,91.7708333333335,0.196506067837697,0.0606220772107704,0.96551724137931,0.0344827586206897
10502,4,86.4285714285714,116.083333333333,85.6521739130435,131.478260869565,CA,No,Title I schoolwide school,22,158,1.07594936708861,101.255952380952,108.565217391304,0.0985082419397095,0.0454545454545455,0.909090909090909,0.575148780423969
10502,5,82.5,91.75,88.05,112.55,CA,No,Title I schoolwide school,21,158,1.07594936708861,87.125,100.3,0.0882639834160834,0,0.904761904761905,0.0952380952380952
10503,1,18.515625,32.8382352941176,9.12195121951219,17.3636363636364,CA,No,Title I schoolwide school,68,342,1.38011695906433,25.6769301470588,13.2427937915743,0.136341786123991,0.191176470588235,0.808823529411765,0.770782859898968
10503,2,45.8333333333333,75.2777777777778,45.4237288135593,63.1833333333333,CA,No,Title I schoolwide school,72,342,1.38011695906433,60.5555555555556,54.3035310734463,0.0138888888888889,0.208333333333333,0.777777777777778,0.722916978706323
10503,3,62.3461538461538,89.0722891566265,67.9538461538462,95.1475409836066,CA,No,Title I schoolwide school,81,342,1.38011695906433,75.7092215013902,81.5506935687264,0.174399830730957,0.148148148148148,0.814814814814815,0.037037037037037
10503,4,79.5263157894737,126.04,78.8571428571429,113.68253968254,CA,No,Title I schoolwide school,77,342,1.38011695906433,102.783157894737,96.2698412698415,0.012987012987013,0.12987012987013,0.792207792207792,0.0649350649350649
10503,5,102.452380952381,108.711111111111,90.1875,109.208955223881,CA,No,Title I schoolwide school,44,342,1.38011695906433,105.581746031746,99.6982276119405,0.12613809810015,0.159090909090909,0.795454545454545,0.0227272727272727
10504,1,13.6428571428571,24.1891891891892,13.7910447761194,20.7564102564103,CA,No,Title I schoolwide school,81,562,1.26690391459075,18.9160231660232,17.2737275162649,0.0622233935825316,0.111111111111111,0.888888888888889,1
10504,2,35.4597701149425,74.6428571428571,38.3518518518519,71.3584905660377,CA,No,Title I schoolwide school,89,562,1.26690391459075,55.0513136288998,54.8551712089448,0.0788364134131442,0.191011235955056,0.797752808988764,0.0112359550561798
10504,3,55.3440860215054,84.2526315789474,51.6714285714286,73.2,CA,No,Title I schoolwide school,95,562,1.26690391459075,69.7983588002264,62.4357142857143,0.0779192359642217,0.105263157894737,0.863157894736842,0.0315789473684211
10504,4,79.155737704918,123.074380165289,77.953488372093,116.378048780488,CA,No,Title I schoolwide school,126,562,1.26690391459075,101.115058935103,97.1657685762905,0.0960772823724358,0.0873015873015873,0.865079365079365,0.0317460317460317
